game_title,platform,avg_price_usd,price_record_count
we were here too,PS,1.99,2
death motel,PS,1.99,2
memory holder: animal kingdom,PS,1.99,2
night detective: decrepit manor,PS,1.99,45
rooftop rascal: the drizzle cat,PS,1.99,3
shield king,PS,1.99,2
the casebook of arkady smith,PS,1.99,2
table letters,PS,1.99,2
toy stunt bike: tiptop's trials,PS,1.99,2
pipes master,PS,1.99,2
cube zone,PS,1.99,2
table top tanks,PS,1.99,2
cat pipes,PS,1.99,2
dungeon slime collection,PS,1.99,3
it's spring again,PS,1.99,2
escape the glitch,PS,1.99,2
gems rush,PS,1.99,2
arcade islands: volume one,PS,1.99,2
cazzarion: whack a zombie,PS,1.99,2
astro tripper,PS,1.99,3
color swiper 2,PS,1.99,2
pin strike,PS,1.99,3
on sunday 2,PS,1.99,3
sky dunk,PS,1.99,2
timber tennis versus,PS,1.99,2
stroke the hamster,PS,1.99,3
cazzarion: drone attack,PS,1.99,3
zool redimensioned,PS,1.99,2
tcheco in the castle of lucio,PS,1.99,2
little adventure on the prairie,PS,1.99,2
flippy jump,PS,1.99,3
stroke the koala,PS,1.99,2
wheel riders,PS,1.99,3
2048 boys,PS,1.99,2
stroke the horse,PS,1.99,2
space penguins,PS,1.99,2
cazzarion: dart wheel,PS,1.99,2
dreamfall chapters,PS,1.99,2
gladiator's arena,PS,1.99,2
promesa,PS,1.99,2
cola riders,PS,1.99,2
microarcade shapeswarm,PS,1.99,2
panda punch,PS,1.99,2
billy 101,PS,1.99,2
table mini golf,PS,1.99,2
cazzarion: coin pilot,PS,1.99,2
ultimate adom - caverns of chaos,PS,1.99,2
puyo puyo champions,PS,1.99,2
energy invasion,PS,1.99,4
guess the word,PS,1.99,2
paws and clean,PS,1.99,2
1-2-word search!,PS,1.99,2
cazzarion: treasure diver,PS,1.99,2
rail trail,PS,1.99,2
the button be fields,PS,1.99,2
poly island,PS,1.99,2
spin the lighthouse,PS,1.99,2
super mega space blaster special turbo,PS,1.99,2
stroke the beaver,PS,1.99,2
vikings pinball,PS,1.99,2
neon bash,PS,1.99,3
no brakez,PS,1.99,2
everlune,PS,1.99,2
pac-man 256,PS,1.99,2
jigsaw chronicles: most wanted,PS,1.99,2
unalive 010,PS,1.99,2
manual samuel,PS,1.99,2
hero express,PS,1.99,2
a little walk in the woods,PS,1.99,2
ion assault hd,PS,1.99,2
highway racer,PS,1.99,2
battlefield v,PS,1.99,2
hyper shapes,PS,2.01,47
ziggurat 2,PS,2.01,47
aikano ~yukizora no triangle~ | アイカノ～雪空のトライアングル～,PS,2.03,45
escape 2088,PS,2.03,47
bug-o-buster,PS,2.05,48
beaver fun,PS,2.09,2
horror fun,PS,2.09,2
pizza fun,PS,2.09,2
halloween candy fun,PS,2.09,2
taco fun,PS,2.09,2
donut fun,PS,2.09,2
which country is larger?,PS,2.09,2
cat fun,PS,2.09,2
burger fun,PS,2.09,2
mechanika,PS,2.09,2
ninja fun,PS,2.09,2
unicorn fun,PS,2.09,2
space fun,PS,2.09,2
christmas fun,PS,2.09,2
animal rivals,PS,2.09,2
saint patrick's day fun,PS,2.09,2
kill the bad guy,PS,2.09,2
the enigma machine,PS,2.09,2
sushi fun,PS,2.09,2
mia's christmas 2,PS,2.1,47
alexio,PS,2.12,47
ten,PS,2.12,47
magic exposure - yuri visual novel,PS,2.12,47
behind closed doors: a developer's tale,PS,2.12,47
henchman story,PS,2.13,47
monster high: skulltimate secrets,PS,2.14,47
smily angry,PS,2.14,48
queen's quest 4: sacred truce,PS,2.16,47
wingspan,PS,2.18,48
breachers,PS,2.22,47
goodbye volcano high,PS,2.22,47
my universe - my baby dragon,PS,2.22,47
strikers edge,PS,2.24,2
sky roll,PS,2.24,2
pizza tycoon,PS,2.24,3
